cl_ad_title,cl_url,cl_location,cl_ad,cl_ad_dt,cl_lat,cl_lon,cl_ad_street_addr,date_retrieved,data_source
"+++++++ RT. ONE THERAPY +++ #1 ASIAN MASSAGE IN TOWN +++++++",https://washingtondc.craigslist.org/nva/thp/d/rt-one-therapy-1-asian/6318918796.html,WOODBRIDGE,"RT. ONE MASSAGE THERAPYRT.1 Is The Place To Be ForYour Much Needed Relaxation!==============================TEL: 7 0 3 - 4 9 1 - 6 0 0 0==============================Ultra-Refreshing Clean Shower IncludedDeep Tissue / Swedish / Shiatsu MassageAccept No Substitute ! - We Are The Best !Open 9AM - 10PM - DailyAsian Massage With Energy...........Will Put The Spring Back In Your StepVisit Us Today!13628 Jefferson Davis Hwy. Suite #2 2nd FL. Woodbridge, VA. 22191","9/24/2017 9:42",38.6566,-77.2508,"13628 Jefferson Davis Hwy",2017-09-24,CL1
"• • Edsall Therapy • • 703-914-0050 • •",https://washingtondc.craigslist.org/nva/thp/d/edsall-therapy/6318911164.html,"Springfield,Mixing,Bowl","COME SEE US TODAY!!CALL TO MAKE AN APPOINTMENT OR JUST WALK IN.EDSALL THERAPY6559 EDSALL RD. SPRINGFIELD, VA. 22151Tel:   show contact info   We are located near Rt. 395; Exit 2B for Edsall Road     . . . . . . . . . . . . . Wonderful Licensed Massage Therapists Offering:. Deep Tissue Massage. Swedish Massage. Shiatsu Massage. Shower. Relaxing Atmosphere  . . . . . . . . . . . 1 Hour - $801/2 Hour - $60Hours  10 AM - 10 PMOpen 7 Days (except holidays)VISA. . MasterCard. . DiscoverHave a Nice Day!!!","9/24/2017 9:34",38.8029,-77.2116,NULL,2017-09-24,CL1
"????MASSAGE THERAPY????",https://washingtondc.craigslist.org/nva/thp/d/massage-therapy/6318891469.html,"Alexandria,Arlington","Relaxing Body, Mind, and Spirit Enjoy serenity and healing with a relaxing massage in the comfort of your hotel or your home. Incall available in Alexandria and Arlington. Outcall additional $30.00 traveling fee. Massage Therapy helps promote blood circulation, helps with chronic pain and muscle tension. Stress relief is key to finding balance to a healthy lifestyle!Call today to schedule!  show contact infoPrices for Swedish and Deep Tissue * 30 mins $60.00* 45 mins $75.00* 60 mins $ 95.00* 90 mins $130.00Hours: Monday-Saturday 8am-8pmcall or text to book your appointment at show contact info","9/24/2017 9:12",38.7794,-77.1194,NULL,2017-09-24,CL1
"GET IN TOUCH WITH YOUR MALE MASSAGE THERAPIST TODAY...",https://washingtondc.craigslist.org/nva/thp/d/get-in-touch-with-your-male/6318877874.html,"ARLINGTON,Orange,Line,Metro","At Clarendon Massage Therapy Center,we have a genuine interest in your health and wellness.If you are one of the many who work too much and sleep too little, trying one more thing can seem like too much.  Don\'t worry.  Here, we do the work.  With a variety of techniques to choose from, we bring multiple skills to the table.Our focus is totally on you.We will help make your stress, anxiety, and fatigue disappear. Join the many who have begun the process of taking better care of themselves, by making therapeutic massage a key element of their stress management routine.Take that first step and make an appointment today.Draping is to your comfort level.We are conveniently located a short walking distance from the Virginia Square and Clarendon Metro stations.There is ample on-street parking.Male Certified Massage TherapistBook online. Simply Click on the "SCHEDULE NOW" button on our Home Page:SCHEDULE NOW","9/24/2017 8:55",38.8843,-77.1005,"kenmore at Fairfax",2017-09-24,CL1
"Best AsianMassage**$45/Hr**In Reston, Herndon, Sterling 703-975-7658",https://washingtondc.craigslist.org/nva/thp/d/best-asianmassage45-hrin/6318872955.html,"Reston,Herndon,Sterling","We have the best Asian Massage therapists. We offer a quiet and calm room for your relaxation. Special: Swedish Massage- $45/hrWe have many types of massage(Deep Tissue-$60/hr, Swedish-$45/hr, Hot Stone-$80/hr, etc.), Waxing, and foot reflexology.Come in for the 6th time and you will get a 50% off on any massage(Ask for more details)Make a reservation now! Call  show contact infoAddress: Reston Business Center11874 Sunrise Valley Dr. Unit 100Reston, VA 20191Tel:  show contact infoCash onlyHours: Mon-Fri 10:00am-9:30pm Sat-Sun 10:30am-9:00pm","9/24/2017 8:48",38.9460,-77.3575,"11874 Sunrise Valley Dr.",2017-09-24,CL1
"***Best new asian massage $45/hr** Foot Massage $39/Hr (703-490-2381)",https://washingtondc.craigslist.org/nva/thp/d/best-new-asian-massage-45-hr/6318872370.html,Woodbridge,"We have the best Asian Massage therapists. We offer a quiet and calm room for your relaxation. Special: Swedish Massage- $45/hr*New* Foot Massage $39/Hr *New* Combo Massage $49/Hr - 30min Foot Massage and 30min Body MassageFoot Massage w/ Detox(70min) - $45We have many types of massage(Deep Tissue-$60/hr, Swedish-$45/hr, Hot Stone-$80/hr, etc.), Waxing, and foot reflexology.Come in for the 6th time and you will get a 50% off on any massage(Ask for more details)Make a reservation now! Call  show contact infoAddress: Minnieville Shopping Center Across from Wawa Gas Station and behind Jiffy Lube2878 Garber Way Woodbridge, VA 22192 Tel:  show contact infoCash onlyHours: Mon-Fri 10:00am-9:30pm Sat-Sun 10:30am-9:00pm","9/24/2017 8:47",38.6607,-77.2987,"2878 Garber Way",2017-09-24,CL1
"°°•°°•°°•Mclean CREAM soapland °°•571-376-3068",https://washingtondc.craigslist.org/nva/thp/d/mclean-cream-soapland/6318862179.html,"google,map","All Types of Oriental Massage! We Know Exactly what you Need, So Swing By and Enjoy the Best Body Work in Town. All Types of Oriental Massage! We Know Exactly what you Need, So Swing By and Enjoy the Best Body Work in Town. Sweet masseuses**Magical touch**Perfect massage~~~we have easy parking. front and back parking~~~ Sweet masseuses**Magical touch**Perfect massage~~~we have easy parking. front and back parking~~~ ~~ show contact info~","9/24/2017 8:32",38.9326,-77.1706,"old dominion dr",2017-09-24,CL1
"Professional Relax full body,Cupping massage (fairfax )",https://washingtondc.craigslist.org/nva/thp/d/professional-relax-full/6318852035.html,Fairfax,"Come relax with a soothing the therapeutic massage .My style is normally to have a free-style combination ,hot oil ,Hot stone ,Cupping massage ,I providing detailed feedback .Offer Swedish , Shiatsu, Deep Tissue and Reflexology I also have a beautiful place Shower available before and afterparking free until midnight Please give me call NOW  Marky  show contact info","9/24/2017 8:15",38.8604,-77.2649,"Lee HWY at Bake lend",2017-09-24,CL1
"??????5 STAR ASIAN MASSAGE / SHIRLINGTON THERAPY ??",https://washingtondc.craigslist.org/nva/thp/d/5-star-asian-massage/6318580638.html,ARLINTON,"[" Welcome To SHIRLINGTON THERAPY  WORLD-CLASS SERVICE If You Appreciate Exceptionally Good REAL Asian Massage and Some Much Needed Personal Pampering To Recharge and Destress Then You're Looking At The Right Ad... Our Therapy Is The Place To Be For Your Much Needed Relaxation !! Swedish - Shiatsu - Deep Tissue - Massage  Table Shower Available - CC Aceppted  Mon - Sat / 10AM To 12AMSunday: 10AM - 10PMshow contact info2249 S Shirlington Rd #C, Arlington, VA 22206 "]","9/23/2017 21:31",38.8496,-77.0840,"2249 S Shirlington Rd",2017-09-24,CL1
"? OUR VERY BEST MASSEUSE - AS RATED BY YOU! ? PINE TREE SPA&#10084",https://washingtondc.craigslist.org/nva/thp/d/our-very-best-masseuse-as/6318479049.html,"FAIRFAX,VA","Our very best - as rated by you!  This is the best massage EVER!!!!      PINE TREE SPA  You will want to come back again and again. "Absolutely brilliant!! Highly recommend to everyone!"  Call NOW!!  --show contact info-- Relaxation, Deep Tissue, Swedish, and more! Table Shower and Dry Sauna too!Open Every day 10am-10pm. CC\'s Accepted9512-C Lee Highway, 2nd Floor, Fairfax, VA 22031","9/23/2017 19:37",38.8604,-77.2649,"9512-C Lee Highway",2017-09-24,CL1
"?? LET'S SEE YOU RESIST THIS | GARDEN SPA ?? NEW STAFF",https://washingtondc.craigslist.org/nva/thp/d/lets-see-you-resist-this/6318477750.html,"FAIRFAX,VA","["This Is, Without Question, The Best Spa Ever!!!   GARDEN SPA   GUARANTEED STRESS RELIEF!So Much More Than Just The BestEXTRAORDINARY is an understatement.--show contact info--   Heavenly Service - EVERYTIME!! Swedish - Shiatsu - More! Open Every day 10am-10pm. CC's Accepted.an unforgettable massage experience. 9516-B Lee Highway, Fairfax, VA 22031 "]","9/23/2017 19:36",38.8604,-77.2649,"9516-B Lee Highway",2017-09-24,CL1
"~?~?~ _____ ARLINGTON THERAPY _____ GRAND OPENING ~?~?~",https://washingtondc.craigslist.org/nva/thp/d/arlington-therapy-grand/6318468005.html,Arlington,"Grand Opening  Swedish | Shiatsu | Deep Tissue | Massage Open 7 Days / 10am - 11pmSunday: 10am - 10pm3213 Columbia Pike Arlington, VA 22204","9/23/2017 19:26",38.8618,-77.0904,"3213 Columbia Pike",2017-09-24,CL1
"??=====NEW MASSAGE THERAPIST !$45/Hr=====??",https://washingtondc.craigslist.org/nva/thp/d/new-massage-therapist-45-hr/6318445430.html,"FAIRFAX,NORTH,VA","WE ARE NEW , COME HERE TO RELAX !   ASIAN * MASSAGE     show contact info  ABSOLUTELY THE BEST ASIAN MASSAGE  Come Try......You will like to come back for sure!  Soft Touch  Deep-Tissue  Combination  Back Walking Swedish* Private Rooms * Professional Massage Tables * Clean & Comfortable **Beautiful Sweet Professional Masseuses Available*SATISFACTION GURANTEED!!!  show contact info Special:Swedish MassageDeep Tissue  60mins $60 Reflexology + Foot Spa 60mins $45CS MASSAGE11166 Fairfax Blvd #110,Fairfax.VA 22030CASH ONLY 10am -9pm, 7 Days a Week  * WE ARE HAPPY TO SEE YOU","9/23/2017 19:04",38.8550,-77.3274,"11166 fairfax blvd",2017-09-24,CL1
"^^^__The Best Massage In Town!___UPSCALE ASIAN INSPIRED ATMOSPHERE_^^^",https://washingtondc.craigslist.org/nva/thp/d/the-best-massage-in/6318430920.html,"__TYSON,S,VIENNA,McLEAN","_____G & G Wellness Center_____"Come See Us and Let Us Melt Your Stress Away!"GRAND OPENING!Treat Yourself To a Best Relaxing Asian BodyworkFeel Better Today..The Oriental Way~ Deep Tissue - Swedish - Shiatsu Massage ~~ Luxurious T. Shower / Upscale Dry Sauna ~8450 Tyco Rd. Suite-C Vienna, VA. 221827 0 3 - 4 6 2 - 9 1 6 1","9/23/2017 18:51",38.9335,-77.2371,"8450 Tyco Rd",2017-09-24,CL1
"BEST ASIAN MASSAGE *****(((((*** FEEL THE DIFFERENCE ***)))))_________",https://washingtondc.craigslist.org/nva/thp/d/best-asian-massage-feel-the/6318428060.html,ARLINTON,"[" Welcome To SHIRLINGTON THERAPY  WORLD-CLASS SERVICE If You Appreciate Exceptionally Good REAL Asian Massage and Some Much Needed Personal Pampering To Recharge and Destress Then You're Looking At The Right Ad... Our Therapy Is The Place To Be For Your Much Needed Relaxation !! Swedish - Shiatsu - Deep Tissue - Massage  Table Shower Available - CC Aceppted  Mon - Sat / 10AM To 12AMSunday: 10AM - 10PMshow contact info2249 S Shirlington Rd #C, Arlington, VA 22206 "]","9/23/2017 18:48",38.8496,-77.0840,"2249 S Shirlington Rd",2017-09-24,CL1
"______________MAGNIFICENT__ORIENTAL__MASSAGE ___________________",https://washingtondc.craigslist.org/nva/thp/d/magnificentorientalmassage/6318425160.html,"TYSON,S,CORNER,VA","Luxurious Asian Massage=====*   ENLIVEN THERAPY    *=====" WORLD-CLASS SERVICE " Relax Your Body And Mind With A Rejuvenating, Refreshing, And Restorative Massage" We Truly Are The Best & The Best Asian Massage " || Swedish || Deep Tissue || Shiatsu Massage |||| Refreshing Shower || Dry Sauna ||Open  7 days a week: 10:00am-10pm _______show contact info_______8472-D TYCO ROAD, VIENNA, VA 22182CLICK HERE * MAP","9/23/2017 18:46",38.9330,-77.2378,"8472 TYCO RD",2017-09-24,CL1
"Asian professional Female therapist",https://washingtondc.craigslist.org/nva/thp/d/asian-professional-female/6318416436.html,Woodbridge,"New arrived professional  pretty Asian female massage therapist here professional massage therapist .. W4M best massage.Deep Tissue and Swedish Oil massage on a relaxing body work Table.. Private new apt here will be safe clean and private...Nice shower available at your request... True W4M experience...Trimming/Shaving will be available Pls call  show contact info to make appointment Hope to hear from you soon!CiCi","9/23/2017 18:38",38.6760,-77.3163,Woodbridge,2017-09-24,CL1
"~?~?~ _____ ARLINGTON THERAPY _____ GRAND OPENING ~?~?~",https://washingtondc.craigslist.org/nva/thp/d/arlington-therapy-grand/6318362105.html,Arlington,"Grand Opening  Swedish | Shiatsu | Deep Tissue | Massage Open 7 Days / 10am - 11pmSunday: 10am - 10pm3213 Columbia Pike Arlington, VA 22204","9/23/2017 17:51",38.8618,-77.0904,"3213 Columbia Pike",2017-09-24,CL1
"?? HEALING BODYWORKS ?? ASIAN MASSAGE | GRAND REOPENED NOW!",https://washingtondc.craigslist.org/nva/thp/d/healing-bodyworks-asian/6318353537.html,"ARLINGTON,VA","[" Healing Bodyworks  Premium Asian Massage!   All New Staff!  Under Totally New Management  Comfortable Private Rooms   Skilled & Friendly Asian Staff  Outstanding Courteous Service  Immaculately Clean   Refreshing Shower  Swedish, Shiatsu, Deep Tissue, & Relaxation Massage Available  Convenient Parking Day & Night  Open 7 Days 10am -- 11pm  All Credit Cards Accepted  Call Today!   show contact info 5133 Lee Highway, Arlington, VA., 22207*Right On Lee Hwy., In The Strip Mall Across The Street From Wendy's...(Private Parking Is Available In Back Of Building) "]","9/23/2017 17:44",38.8967,-77.1316,"5133 Lee Highway",2017-09-24,CL1
"???? Asian 30s women wants to show you Orient secrets??",https://washingtondc.craigslist.org/nva/thp/d/asian-30s-women-wants-to-show/6318339751.html,"vienna,dc,va","I studied the ancient secrets in China and have now brought those secrets to America to share with you.  Let me show you ancient ways that can bring you intense bliss and relaxation.  Let me serve you.  Ninety minutes of luxurious oil rubbed into your aching body is only $100.  You will leave feeling like a new man, ready to do anything.  I have a pretty face and the perfect sharp of body. Please help me make my transition to America seamless by coming by and letting me take you to heaven.Please give me a call or text me at   show contact info and let me help you soon. Deep tissue/Swedish/shiatsu/tuina/Thai massage Hot stone/lomilomi.Rates:30 minutes = $4560 minutes =$7090 minutes =$100Do NOT have walk ins. APPOINTMENTS ONLY.Contact:   show contact info  CASH PREFERRED","9/23/2017 17:33",38.8458,-77.3242,NULL,2017-09-24,CL1
"((Tranquility))= Zen= ((Asian Massage Treatment))! Total Relaxation!",https://washingtondc.craigslist.org/nva/thp/d/tranquility-zen-asian-massage/6318288033.html,"Herndon,Reston,Dulles,Sterling,Ashburn","New World Therapy provides you with the Ultimate in Massage Therapy!We offer: Shaitsu, Swedish Massage, Hot Stone Therapy, Deep Tissue and Aromatherapy Refresh with a Luxurious Table Shower. We now Offer a Choice of 4 Naturally Scented Organic Soaps!  VISIT & RELAX TODAY!  Relax in a Comfortable Private Room, with Soothing Music. Unwind with a Nice Natural Wood Hot Sauna, Never feel rushed. Enjoy a Soothing Massage with Our friendly Asian Staff Open 7 Days Call Us Now! Newly Refreshed Facilty!9:30AM to 11:00PM","9/23/2017 16:53",38.9682,-77.3971,"1039 Sterling Rd. Suite",2017-09-24,CL1
"_________You DESERVE the BEST MASSAGE of ALL TIME _________________",https://washingtondc.craigslist.org/nva/thp/d/you-deserve-the-best-massage/6318285665.html,"TYSON,S","_____[[___GRAND  OPENING ! ]]_____Let Our Beautiful Asian Staff Pamper U Today!Nothing Compares to Our Magical Asian MassageDeep Tissue / Swedish / Shiatsu MassageLuxurious Shower / Dry SaunaOPEN DAILY 10 TO 10~*~ Walk-Ins Welcome ~*~Treat Yourself To a Best Relaxing Asian BodyworkFeel Better Today..The Oriental Way8450 Tyco Rd. Suite-C Vienna, VA. 22182","9/23/2017 16:51",38.9335,-77.2367,"8450 Tyco Rd",2017-09-24,CL1
"MIKO'S SPA. A SPA GOER'S DREAM. EXCELLENT LOCATION AND INCREDIBLE SPA",https://washingtondc.craigslist.org/nva/thp/d/mikos-spa-spa-goers-dream/6318276093.html,"CHANTILLY,VA,MINUTES,FROM,THE,AIRPORT",""All spa-goers should be required to experience this!" "Incredible Service, Staff, Experience"   MIKO\'S SPA Luxurious Asian Massage Perfection!  Incredibly luxurious asian styled spa  STELLAR Asian Staff  very beautiful decors, spacious and clean  Swedish - Shiatsu - Deep Tissue - Acupressure  The best experience of any spa; Surpasses 5 star spas! Open Mon-Sat 10am - 8:30pm, Sun 11am - 6pm Call NOW!  show contact info   14155 Robert Paris Ct., Chantilly, VA 20151","9/23/2017 16:44",38.8867,-77.4457,"14155 Robert Paris Ct.",2017-09-24,CL1
"[[=]]__WELCOME TO BEST ASIAN MASSAGE IN TOWN!__[[=]]",https://washingtondc.craigslist.org/nva/thp/d/welcome-to-best-asian-massage/6318268246.html,"[ , ]__,VIENNA,TYSONS","[[=]]__WELCOME TO BEST ASIAN MASSAGE IN TOWN!__[[=]]" Comfortable & Serene Environment! "VIP\'s Facility Is Renowned For Its ServiceThe Spa Is Absolutely Spotless, Tranquil & Very ComfortableYou Will Feel Right At Home From The Very First Moment You Walk InDeep Tissue / Swedish / Shiatsu Massage Friendly Asian StaffOpen 7 Days / 10AM TO 10PMRefreshing Table Shower 7 0 3 - 9 9 2 - 9 7 0 0  2240 Gallows Rd. Suite B Vienna, VA 22182","9/23/2017 16:38",38.9042,-77.2227,"2240 Gallows Rd",2017-09-24,CL1
"???? LOMI LOMI HAWAII MASSAGE with REKIE ??InCall/Out Call",https://washingtondc.craigslist.org/nva/thp/d/lomi-lomi-hawaii-massage-with/6318248530.html,"['ALEXANDRIA,NOVA","['MIND BODY SPIRIT BALANCE STUDIO!Lomi Lomi is Hawaiian massage.This massage uses copious amounts of heated unscented coconut oil or Sesame oil with long continuous flowing moves, combined with the very loving touch that relaxes the entire body.Traditionally in ancient Hawaii lomi-lomi was practiced as a healing practice of native healers, as a luxury and an aid to digestion,The free-flowing Healing Touch that typify lomi-lomi have many of the same benefits of traditional Swedish massage: improved circulation and immune response, increased range of motion and flexibility, improved posture, faster healing, slower heart rate.Lomi Lomi is infused with mana -- the power and vitality permeating these islands. For others, mana means "all power comes from within" Again, the goal is to rid the body of "negative" energy -- including tension, toxins, and even injury -- and allow it to find a better, more harmonic state.Special music, Candles and aromatherapy is used. COMPLIMENTARY SERVICE/NO COST!Scalp Massage.Aromatherapy.Reflexology.In Call--$70/60, $100/90min; $140/120min.Out Call--$130/60 min; $200/120 min. Rates change distance I drive.Above rate is for 20 min driving distance from My studio. Rate may change, distance I drive.I drive up to 45 min from my place. Promotion: If any clients Refer 5 Clients, Receive 1 Hr Free Massage Session.  show contact info.Appointments Only.Seven Days.- 9am -10.00pm(Sorry but Private and Blocked numbers will NOT be respond.) Cash Only.NOTE: Respectful Clients Only!","9/23/2017 16:23",NULL,NULL,NULL,2017-09-24,CL1
"$$$$$$ Special $50/Hour $$$$$$",https://washingtondc.craigslist.org/nva/thp/d/special-50-hour/6318246804.html,Herndon,"====== $$$$$$  Special $50/Hour  $$$$$$ ======*************CRYSTAL MASSAGE************======GRAND OPENING! CRYSTAL MASSAGE======MILITARY DISCOUNT 10 %ShiatsuDeep TissueSwedishBack WalkChinese MassageTable Shower We accept credit cardsCALL NOW show contact info FOR DETAILSFlexible Hours(Walk-Ins Welcome or By Appointment )OPEN 10AM TO 10PM DAILY102 Elden Street, suite 18, Herndon,VA 20170Close to Reston , Chantilly, Dulles, Herndon, Great Falls, Herndon","9/23/2017 16:22",38.9666,-77.3663,"102 elden street",2017-09-24,CL1
"?? HERNDON THERAPY | "IT JUST DOESN'T GET ANY BETTER THAN THIS!!"&#128155",https://washingtondc.craigslist.org/nva/thp/d/herndon-therapy-it-just/6318243569.html,"_HERNDON,VA","It is more than a pamper.  ELEGANT--ASIAN--BODYWORK! Serene Music, lavish private therapy rooms [[HERNDON THERAPY]] We have all you need to relax and unwind.  "Best Massage, Sauna and Relaxation ever!!!!"  Our trained staff are available for stress relieving massage. The most lovely therapists in town. Open 7 Days 10am-10pm. CC\'s Accepted. CALL TODAY!  show contact info   This spa KNOWS how to take care of you. 201 Elden Street #204, Herndon, VA 20170","9/23/2017 16:19",38.9664,-77.3689,"201 Elden Street",2017-09-24,CL1
"? PINE TREE SPA - "STUNNINGLY" BEAUTIFUL AND FLAWLESS ASIAN MASSEUSE!",https://washingtondc.craigslist.org/nva/thp/d/pine-tree-spa-stunningly/6318241602.html,"FAIRFAX,VA","["Wow, wow and wow! The BEST massage you will ever have!    PINE TREE SPA  ALL NEW HIGHLY SKILLED BEAUTIFUL Staff! a truly unique experience you won't forget. Absolutely amazing -- don't hesitate, just GO!  Call NOW!!  --show contact info-- Relaxation, Deep Tissue, Swedish, and more!Table Shower and Dry Sauna too!Open Every day 10am-10pm. CC's Accepted. Let us pamper you like a VIP!  9512-C Lee Highway, 2nd Floor, Fairfax, VA 22031 "]","9/23/2017 16:18",38.8604,-77.2649,"9512-C Lee Highway",2017-09-24,CL1
"?? FIRST CLASS SERVICE AND RESULTS |  GARDEN SPA ?? NEW STAFF",https://washingtondc.craigslist.org/nva/thp/d/first-class-service-and/6318238294.html,"FAIRFAX,VA","["We're absolutely perfect for you!   GARDEN SPA   GUARANTEED STRESS RELIEF!an experience that exceeds your expectations EXTRAORDINARY is an understatement.Absolutely amazing -- don't hesitate, just GO! --show contact info--   Heavenly Service - EVERYTIME!! Swedish - Shiatsu - More! Open Every day 10am-10pm. CC's Accepted.  an unforgettable massage experience.9516-B Lee Highway, Fairfax, VA 22031 "]","9/23/2017 16:15",38.8604,-77.2649,"9516-B Lee Highway",2017-09-24,CL1
"MALE MASSAGE SERVICES, Incall/Outcall, Relaxing, $50/hr",https://washingtondc.craigslist.org/nva/thp/d/male-massage-services-incall/6318226997.html,"['Manassas,Va","['Incall/Outcall Massage by Male Masseur, 16yrs of Relaxing and Deep Tissue, Sports, Myofacia , Myoskeletal alignment , lymphatic drainage, Reiki  experience. Incall:    $50/60 mins              $80/ 90 mins              $30/30 minsOutcall: $90/ an hr outcall,              $130 / 90 minutes.  25 mile and farther , price vary .Fall church, Arlington, Alexandria Va. , DC, Rockville Md. parking fee added        $100/60 mins       $140/90 mins I use Earthlite Massage table for your comfort, suiting peppermint oil essence and relaxing massage music.Delshow contact info","9/23/2017 16:07",NULL,NULL,NULL,2017-09-24,CL1
"______The Best Massage In Town!___UPSCALE RT. ONE THERAPY___",https://washingtondc.craigslist.org/nva/thp/d/the-best-massage-in/6318205558.html,WOODBRIDGE,"RT. ONE MASSAGE THERAPYRT.1 Is The Place To Be ForYour Much Needed Relaxation!==============================TEL: 7 0 3 - 4 9 1 - 6 0 0 0==============================Ultra-Refreshing Clean Shower IncludedDeep Tissue / Swedish / Shiatsu MassageAccept No Substitute ! - We Are The Best !Open 9AM - 10PM - DailyAsian Massage With Energy...........Will Put The Spring Back In Your StepVisit Us Today!13628 Jefferson Davis Hwy. Suite #2 2nd FL. Woodbridge, VA. 22191","9/23/2017 15:52",38.6566,-77.2508,"13628 Jefferson Davis Hwy",2017-09-24,CL1
"===?=G=R=A=N=D==O=P=E=N=I=N=G == F=A=B=U=L=O=U=S == A=S=I=A=N=======",https://washingtondc.craigslist.org/nva/thp/d/grandopening-fabulous-asian/6318204767.html,ALEXANDRIA,"__ * Swan Therapy * __show contact info*  a Top Luxury Oriental Therapy *You Won\'t Find a Better Asian Staff Anywhere Deep Tissue / Swedish / Shiatsu   Clean Shower Is Available  Open Everyday - 10AM To 10PM5146 Leesburg Pike 2ND. FL. Alexandria, VA 22302 " Time to enjoy our top notch services & luxurious Spa"","9/23/2017 15:51",38.8453,-77.1162,"5146 Leesburg Pike",2017-09-24,CL1
"NEW Asian Staff 60$/h (Please Call 703-577-6199) -- at Falls Church",https://washingtondc.craigslist.org/nva/thp/d/new-asian-staff-60-please/6318200002.html,"Falls,Church","Hello FriendsThis is our unique fusion massage therapy, relieve pain and stress, relax mind and body restore energy flow.Enjoy the care of a professional in a safe clean environment.Soothing sounds, warm towels, clean linens, I use light unscented warm oil or lotion of the highest quality.Deep Tissue, Swedish, Acupressure, Cupping, Reflexology, Hot-Stone MassagesFor Ladies and gentleman, Walk ins are welcome .... Appointments are appreciated.Call us 9AM-10PM, Mon. to Sun....  show contact info; YIZ SPA 6051F Arlington Blvd, falls church, VA 22044Out call: after 8pm, Mon. to Sun,  120$/60min plus 20$ travel","9/23/2017 15:48",38.8589,-77.1548,"6051 F Arlington Blvd",2017-09-24,CL1
"? Massage + Stretching for Busy Men - Your 2-Hour Vacation/Recovery!",https://washingtondc.craigslist.org/nva/thp/d/massage-stretching-for-busy/6318196135.html,"Reston,Dulles,W,OD,Sterling,Herndon","Massage plus stretching should rejuvenate your body and resolve your muscle tensions. I don\'t count minutes, so you can enjoy massage without worrying about time constraint. I work on your entire body, starting with muscle stretching.  With more than six years of experience, I observe your body reactions and tailor the massage to your needs combining Swedish, Sports, Deep Tissue, myofascial release, and Thai Massage Stretching. Solid pressure massage is mixed with stretching, plus feather light touches.My studio is only 2 miles from the Dulles Airport and walking distance from W&OD Trail - perfect for business travelers, runners/bikers, and locals.  Easy parking in a safe neighborhood.  Only have access to Metro?  My studio is a short ride from the Silver Line Metro Wiehle-Reston Station. Stay in hotel and have no car?  Take a Taxi or Uber to my studio. I can drive you back after the session.Teachers, Active Military, and all First Responders will receive promotional discount.  Thanks for your service.Amenities to improve your comfort: professional grade non greasy unscented oil/gel, shower, heating pad, space heater, fleece pad, clean sheets, foam headrest, neck pillow, relaxing music, hot towels, etc. I am a licensed male therapist, 44, 5\'7", 155 lbs, athletic, non-smoker, and good hygiene.Never received massage from a male therapist? You are not alone. Majority of my clients are married men. You may feel uneasy about some ads on CL. Your life is well established and you don\'t want to meet any crazy people. You will be impressed with my professionalism on this ad and follow-up responses. In-Call only: $99 cash plus tips per session - Guarantee 90+ minutes. One-hour session is available. Flexible hours, weekends, afterhours and last minute appointments available.I will reply with in-depth information, photos, location, testimonials, and answers to all of your questions.","9/23/2017 15:45",38.9811,-77.4064,NULL,2017-09-24,CL1
"?~*????Great Therapists!! Best & Professional Massage!!",https://washingtondc.craigslist.org/nva/thp/d/great-therapists-best/6318169058.html,NULL,"~*Relaxing your soul and body~We have the best experienced Female Asian Massage therapists. We offer a clean, quiet and private room for your relaxation. You deserve to enjoy your relax time here!!We offer many types of massage for you to relief stress. Services Provided:AcupressureSwedishShiatsuDeep tissueFoot ReflexologyRates: 80 for an hour. Call or Text for making an appointment:  show contact info AliceOpening hours: 10am - 10pm everydayAddress: 5205-B Lyngate Court, Burke, VAYou will be satisfied by our professional service.","9/23/2017 15:26",38.8097,-77.2574,"5205 Lyngate Court, Suite B",2017-09-24,CL1
"?????? 5 STAR AMAZING MASSAGE BY LATIN STAFF??",https://washingtondc.craigslist.org/nva/thp/d/5-star-amazing-massage-by/6318147056.html,Alexandria,"Luxurious environment with effective body work. Our highly trained staff will provide you with a wonderful relaxing experience. COME EASE THE PAIN ,AND ACHES, AND SOOTHE THE SORE AND TENSE MUSCLES TODAY                                                      SWEDISH MASSAGE                                                          FOOT REFLEXOLOGY                                                          HOT STONE MASSAGE                                              CALL:  show contact info OR  show contact info WALK- INS ARE WELCOME                                                             CASH  CREDIT CARDS ACCEPTED                                               ADDRESS: 5134 LEESBURG PIKE SUITE 200, ALEXANDRIA VA                                                                            OPEN: 6 DAYS A WEEK.                                                                      MONDAY-FRIDAY 10AM-8PM                                                                          SATURDAY: 10AM-7PM","9/23/2017 15:11",38.8453,-77.1159,"5134 Leesburg pike",2017-09-24,CL1
"A Simply Exquisite Massage by Nena",https://washingtondc.craigslist.org/nva/thp/d/simply-exquisite-massage-by/6318135309.html,NOVA,"I am a licensed massage therapist with 8 years of experienceI am a graduate of the Piedmont School of Massage in VirginiaI offer a private studioThe picture included is of me and my studioCome experience and hour or more of relaxationChoose your modalityUnder candle light and classical musicWood stove snug and warmYou are welcome to bring your own musical selectionsI am available every day by appointmentSeveral hours of notice are requiredI am flexible and available for evening sessions for those who work lateA shower and fresh linens are at your fingertipsAll sessions are reserved by phone only.....no text ...no emailsI am picky about my clients as you are about your massage therapistHours of availability7 days a week10 am until midnight","9/23/2017 15:03",38.6760,-77.3163,NULL,2017-09-24,CL1
