index,combined,type
107,"Asian Massage on 280 (across street from Logan and chick A filet)Please call: show contact info...Professional, skilled, experienced Asian massage therapists.Providing relaxing, comfortable, Asian and western massage.work with your time. The Best Massage É?? Asian...H Massage...É??",thp
108,"*NEW LOCATION* NEW OPEN *Best Environment For Relaxing !We Are Professional Licensed Massage Therapists.We Offer Swedish, Deep Tissue, Acupuncture, Ralaxing Soothing Traditional Massage And Offer Special Hot Towel, Will Completely Relax Both Your Body And MindAnd Take Away Your Pain Stress And Anxiety In Your Body !We Have Gift Certificate Offer For Your Loved One !Business Hour : 9:30 am --10:00 pmOpen 7 Days A Week Please Call :  show contact infoNEW Location: 4851 Cahaba River Rd suite 129    É?? NEW OPEN !!! LOTUS MASSAGE !!! É?? (4851 Cahaba Rive Rd 205-991-2841",thp
109,"227 1st street at 227 1st street  IG Steam Bath Best Atmosphere For RelaxationRelaxing Soothing Professional BodyWorkOriental Massage & AcupressureShiatsu, Deep Tissue, Swedish & Table ShowerSteam, Jacuzzi$60 With One Hour Massage227 1st street north Alabaster suite B AL 35007 show contact infoChinese Acupressure Massage $60(((north Alabaster)))227 1st North",thp
110,"PANDA Acupressure Massage $60/hr $80/90min(((Homewood AL) ) )))490 N wildwood circle ste 120 *Deep Tissue / Shiatsu / Swedish Massage *Therapeutic massage to reduce stress, increase blood circulation, *and heal muscle and joint pain. * Deep tissue ** Swedish & shiatsu massage ** Hot oil & hot towel treatment *   show contact info * open 7 days per week * 10:00 am / 10:00pm490 N wildwood circle ste 120 homewood AL 35209 do NOT contact me with unsolicited services or offersit's ok to contact this poster with services or other commercial interests    Panda Acupressure $60 Homewood(490 N Wildwood Circle Homewood)",thp
111,"Hello GUYSMy name is MAV , Latin massage therapist , I am certified My massage include a mix of techniques (ask) , I have my own private studio , shower available Private parking Reasonable RatesFeel free to text me  show contact infoMALE  MASSAGE M4M  BY MAV",thp
112,"Hello Guys My name is MAC , I am a Certified Massage Therapist with 25 years of experience and now it's time to Put yourself in the firm, nurturing hands of a mature, masculine man. Let me melt away the tensions of every day existence through masculine touch. My innovative bodywork leaves you fulfilled, relaxed and ready to return to your world. I'm a mature and friendly professional masseur who proudly serves straight, bi and gay men of all ages, shapes and experienceI will take my time to find all your spots and custom tailor the session to your liking. I am very intuitive, and you will be very happy with your experience. ALLOW ME TO SPOIL YOU !!CALL, TEXT OR EMAIL ME TO BOOK YOUR APPOINTMENTSHOWER AVAILABLE**** 60 dollars x 60 minutes **** MAC  show contact infoCERTIFIED MASSAGE THERAPIST FOR MEN",thp
113,"Welcome to my loving, healing Sanctuary... Receive the attention and touch you long for. Feel enveloped by warm love and Pleasure... Magic happens when we listen to and trust our bodies' wisdom, and get out of our thinking heads. Are you ready for a Beautiful, Restorative, Healing journey? Are you ready to feel your body in ways you have not felt it before? I will take you where you need to go... away from the draining stresses of life and work and into a timeless, heart-filled bliss! This work goes deep... I am a Seductive Reiki Master who has mastered the art of intuitive tantric healing. *Respect and integrity are crucial values in my work. Thank you for your respect and Intentionality when you come in for sessions!* * show contact info*. $120/hour.For Women and men. Blessings! I AM NOT AN ESCORT. Zenful Tantric Reiki    ?¯è???É???¯è?è????¯è?É?õèˇ?¯è?è??®SOOTHING RELAXING BODYWORK ?¯è?É?õèˇ custom",thp
114,"Hi, I'm Adara Moselle. I am a professional masseuse & energy worker conveniently located in Decatur. Come enjoy a cozy private space, a sincere and thoughtful masseuse, skilled hands and great personality. Awesome service is always guaranteed.Services offered include:Massage - Sweddish, Thai, Lomi Lomi, Deep Tissue, Tantra, Couples & PartiesEnergetics - Pranic Healing, Reiki, Tantric Bodywork, Chakra & Aura CleaningFor more info visit us at www.electrictouch.xyz    Relax, Unwind & Lose Track of Time",thp
115,"Welcome to MAY Massage3255 lawrenceville suwanee rd suwanee ga 30024  show contact info  Try our professional and friendly new staff!!!~We pride ourselves in offering a quiet, soothing atmosphere. Located in an excellent area we offer several different massages, including:SwedishDeep Tissue Body massage Couple massage Beautiful & Sweet Asian Staff Are Ready To Give You BEST ServiceWALK-INS WELCOME! Éù?GRAND OPENINGÉù?amazing massage$10 off 10AM-1PM",thp
116, ,thp
117,"Come & Enjoy a Relaxing Session with yours Truly.1hr $80If you are looking for a Professional place & relaxing time this is the right place! I offer many customized sessions for your individual needs that will relieve your pains and relax your body and mind. Warm TowelsClean LinensUncented OilShower Available Open 5 days a week Mon-Friday 9:30am --5:00pm Please Text  show contact info To get a Faster reply. Located in Norcross, off Holcomb bridge and peachtree corners .Professional office. Come Relax",thp
118,"clean roomspretty friendly asian and latin staffopen 7 days a week 10:00 am to 8:30 pmLocated 2131 Pleasant Hill Road Suite 145 Duluth, Ga 30096 (behind apple bees and burger king)Exit 104Phone:  show contact info    do NOT contact me with unsolicited services or offersMassage",thp
119,"Catering to the elite clientele that likes to indulge the mind, body and soul with a one of a kind, customized, made just for you body work.  show contact info to schedule with Kissy Treat Yourself The perfect ambiance for the perfect body work.Cozy, clean, and comfortable Fayetteville/Riverdale location. ?¯è?É??É?? Amazing Hands Massage Studio ?¯è?É??É??",thp
120," Beautiful & Friendly Asian Staff VISIT TODAY Or CALL FOR APPOINTMENT Absolutely Best Deal In Town & Staff !!!  Asian Oriental Deep Tissue Swedish Shiatsu Relaxation  Table Shower & Sauna Also Available  GIVE US A CALL  Open = 7 days $60 for an hourDeep Tissue MassageSwedish Massage4 Hands Massage (by appointment)Foot massage~Special: ^^Free table shower ^^Free hotstone ^^Free Sauna ~Come and Enjoy a therapeutic Chinese Massage~ Zen Massage~ 10450 Medlock Bridge Rd Suite 107 Johns Creek, GA 30097~ Please Call for appointments at  show contact info or Text to schedule your appointment at  show contact info.~Business hours: 10.00AM- 9PM. Last appointment at 8:30pm.10450 Medlock Bridge Rd, 30097    ZenSational (Duluth\Johns Creek)",thp
121,"MASSAGE WITH A GREAT TOUCH! INCALLS (gainesville)SE HABLA ESPANOL  show contact infoSEVEN 7 CERO. SEVEN 4 FOUR. 1 ONE 6 NINEGreat with hands! Private location includes table, sheets, lotions/oils and shower for your comfort.I have a location in OAKWOOD,( shower available if you need it)SHOWERS & BEVERAGES AVAILABLE IN A CLEAN AND SAFE ENVIRONMENT.*8AM-10PM 7 DAYS A WEEKCALL OR TEXT TO BOOK YOUR APPOINTMENT.Most of the time when I'm not answering my phone calls is because I'm busy massaging.* I do prefer texts, but you can call either! if i don't answer , leave a textmessage please :)Rates for INCALLS:30min. $4060min. $6090min. $100TIP is NOT INCLUDED***CASH ONLY***    ARE YOU LOOKING FOR A VERY NICE AND SPECIAL MASSAGE",thp
122,"I am a world-class male massage therapist born in Japan and living in the United States for the past 25 years. I am skilled in numerous techniques and therapies, including Shiatsu, Swedish, Neuromuscular, Myoskeletal Alignment, Trigger Point, Thai Stretching and Sports Massage, as well as spa body-scrub treatments (shower available). I am located just inside the perimeter less than a mile from I-285 and Chamblee-Dunwoody.PRICESMassage (Swedish, Relaxation, Light Massage)* 1-hour massage: $70* 90-minute massage: $100Massage + Spa Treatment (Body Scrub, Seaweed Wrap, Mud Wrap, Aroma Therapy Wrap)* 1-hour massage + 30-minute spa treatment: $110* 90-minute massage + 20-minute spa treatment: $140Specialty Massages (Shiatsu, Deep Tissue, Neuromuscular, Sports, Thai Stretching, Maternity/Pregnancy Massage)* 1-hour specialty massage: $75* 90-minute sports massage: $110Foot Massage (Reflexology)* 30-minute foot massage: $40* 1-hour foot massage: $70Quick Service* 40-minute massage + 20-minute spa treatment: $100All massage/treatment appointments include hot-towel service and small bottle of water. Shower available.Hours:Monday - Friday 10 am - 6 pm (last appointment starts at 5)Saturday 10 am - 7 pm (last appointment starts at 6)Sunday closed (special appointments can be made with advance notice)Weekday and Saturday appointments fill early, so whenever possible, please book 24 hours in advance or at least by early morning for a same-day session.Get relaxed and rejuvenate yourself! Call or text:  show contact infoWorld-Class Male Licensed Massage Therapist (North Atlanta (itp)",thp
123,"CONNECT, HEAL, GROW, and BALANCE USING ENERGYDo you need to reconnect in your relationships?Are you experiencing physical, emotional or mental intimacy issues?Are you disabled or experiencing obstacles and want MORE options?If you answered yes to these questions TW!E - Totally Intimate may have your solution.What is Sacred Intimacy?Sacred intimacy is a joint exploration of healing, celebration and intimacy whose goal is to create a greater wholeness. Sessions are typically uniquely crafted by the Coach/Facilitator and client according to the client's own goals, desires and need. Sacred Intimacy Coaching Sessions - 60| 60 minute individual100 | 90 minute couples session --Hindu and Taoist philosophies and breathwork--What is Energy Regulation?Energy regulation is a treatment that is done to promote healing of the energetic body that exists in all of us. This energetic body exists simultaneously with our physical body, with each having a direct effect on the other. Therefore, energy healing sessions may help us mentally and spiritually, as well as physically. Energy Regulation* Sessions - 60 | 60 minute100 | 90 minute*Fire Cupping *Reflexology *Light Touch *Reiki Energy *Transformative Energy Totally Wow! Entertainment featuring Totally Intimate offers:Intimacy CoachingEnergy Regulation SessionsandSexual Obstacle Treatments and Exercisesincluding: Cuddling Sessions Touch Treatment   Chakra Balancing~ Jamila Aisha - AKA Coach MimiTotally Wow! Entertainmentput the WOW! into your love life    É??É??Sacred Intimacy Coaching and Energy RegulationÉ??É??",thp
124,"Book a Mobile Massage to your location today! Female Therapist provides a relaxing therapeutic service on a massage table with clean linen,heated oil and soothing hands. This is an outcall service only.90 min Massage  $1002 hr Massage.      $1351 hr Massage and scrub $1352 hr Massage and scrub $185$25 travel fee and/ or hotel parking will be added if traveling outside of the perimeter. All services are Therapeutic.Contact no# -  show contact infoMobile Massage by Professional Female Therapist 90 min massage $100",thp
125,"Lorena CMT | Certified Massage Therapy | Hotel Outcall OnlyHello! I am a 29 year old masseuse with over 5 years of experience. Experience my masterful touch now! I deliver out-call massage only to Atlanta hotels. I am available to soothe your aching muscles with natural organic lotion or oil, and the exquisite touch of my hands. I'm independent and trained in light touch, medium and deep tissue. Best full body therapeutic rubdown in Atlanta! Many of my new callers become regular clients. Business travelers relax at the end of your long day! Available late night for your convenience. Flat rate: $150 for 60 minutes and 90 minute massage is also available. No hidden costs. Legitimate hotel guests only; express to you in an hour or less. See you soon!Call me @  show contact info when you're ready to schedule appointment.If I am unable to answer, just leave a VM with callback instructions and I will contact you asap. Please no texts or blocked numbers, or inappropriate questions. Thanks in advance,Lorena    24/7 Hotel Outcall Massage ~ Mobile Masseuse ~ Best Bodyrub in Atlanta",thp
126,"Time to Start your day off right!Contact me, the only massage therapist to help break away all those tight and sore muscles with a unique deep tissue massage and Other relaxing massages.This is for those who want a cure from stressfulness and tense tendons. Available Monday through Saturday as early as 7 am to 9 pm. Find an opening most convenient for the greatest massage you'll receive. Let's restore your Strength and Stamina. This Proven Method Is To Remove Any Lactic Acid That Has Been Building Up In Your Muscles.You will not be disappointed!! Text Me Now for a massage. Appointment Only. Your muscles can't wait any longer, so book your next appointment. Couples Massage Available.Name is MinaTEXT:  show contact infoLocated in Winder, Georgia 2 blocks from the Carl House in Auburn, GeorgiaYou're body will leave very satisfied.I prefer texting, if you wish to have me call you, can you please text me to call you back. Most of the time when I'm not answering my phone calls is because I'm busy massaging. Thank you.PS.If I'm not the female from the picture then your massage is free :)    Needing a Nice Relaxing Massage",thp
127, ,thp
128,"((( GG Spa )))***BETTER RELAXATION 4 U***  3149 E Shadowlawn Ave NE, Atlanta, GA 30305 Come and enjoy a totally relaxing momentWe offer various relaxation service to suit your individual needs  show contact info Body to Soul: We heal you all over 24/7 Always be with youBeautiful  Global Staff are waiting 4 UFree Table Shower! DIRECTION: CLICK ?õÉ??É?≠?õÉ??É?ˇ?õÉ??É???õÉ??í? ?¯è?É?ù???¯è?É?ù?? 24/7 GG SPA: 404-907-4699",thp
129,Relax and rejuvenate! I invite you to join me for an amazing massage. Conveniently and privately located. Escape the mundane...Tara 84 three 60 eight 1 44 eight    ~~Amazing Massage~~,thp
130,Hello Gentlemen! My name is Elizabeth. I am a licensed massage therapist. I travel to areas located in Metro Atlanta. Therapeutic Massage - $150.00 HourlyFor an appointment call  show contact infoPlease leave a messageSee you soon!!!*RELIEVE PAIN *PROMOTE RELAXATION* REDUCE STRESS & TENSION*    Schedule Your Appointment Today!,thp
131,"Hello I'm Nicole, 100% Real and Natural...see me at my private suite...I will rub every inch of your....with my strong gifted hands...I will customize your session... just to cater your needs I'm waiting on you...Weekend Special: 20% OFF NEW CUSTOMERS 10% OFF Returning CustomersIncall Specials:60 min... $10030 min... $50************Outcalls 60 min....$12590 min....$150 **** Credit Cards Accepted ****CALL OR TEXT ME NOWshow contact info(NO BACK & FORTH EMAILS OR TEXTS)....You won't be disappointedOpen 12 hours daily*Weekends by appt only*Need More Info??Google Me:ArtfulTouch By Nicole    AMAZING TOUCH",thp
132,"Hello my name is Chloe. I'm a Licensed Massage Therapist with a great touch. Several modalities to choose from including, Deep Tissue, Swedish, Aromatherapy, and Sports Massage to name a few.I'm available 7 days a week by appointment. I DO NOT ACCEPT TEXTS. PLEASE CALL!If I miss your call, I'll call you right back. I look forward to meeting you soon.$115.00 Incall $145.00 OutcallDay and Evening appointment available!Have a Wonderful Day and Evening. Chloeshow contact infoCredit Cards Accepted!AWESOME ""AMERICAN "" MASSAGE THERAPIST WITH INCALL OR OUTCALL",thp
133,"Treat your body to an incredible Full Body Massage!ATLANTA GA'S # C H O I C E!It's time for you to get spoiled by the best female LMTs in Atlanta - Downtown, Airport, Buckhead & surrounding areas! We have positive attitude's with impeccable skill.Your choice of Mobile Massage 1 hour full body session, 90 minutes or the 2 hr session is just perfect for those travelers who are jet-lag or just tired and need a good night's rest.HOTEL Mobile Massage done right!NO DRIVING REQUIRED$125.00 ............ 1 HOUR$150.00 ............ 1.5 HOUR$175.00 ............ 2 HOURComplimentary Body Scrub With Each Session.Please visit our website.http://www.luxmobilemassage.org  show contact info Experience 5 Star LUXURY MOBILE MASSAGE É?êÉ?êÉ?êÉ?êÉ?ê",thp
134,"Delightful Spa, Best Asian Massage.Healing Hands  HOT STONE THERAPY, Deep Tissue, Swedish massageDry Sauna Room for your comfort.Walk-in's Welcome CALL NOW:  show contact infoSee you soon    Delightful Spa Asian Massage",thp
135,"Peace my reflections my name is KeJuan. I'm a licensed massage therapist but my massages go way past what I learned in school. My massages will not only relieve your tension but heal your mind, body, and spirit. This is not a massage you can get at any spa. My massages are genuine and come from the heart. I use a combination of deep tissue, swedish, compression, and reflexology in every session but I can also customize it to fit your needs. The setting is warm and cozy with candles, aromatherapy, and relaxing natural sounds in the background. This isn't just a massage but more like an experience. Your whole being will be refreshed, enabling you to face any challenge that life may try to throw your way. Call  show contact info to schedule an appointment today. See you soon30 Min Back Massage or Foot Massage -$2030 Min Full Body Session -$251Hr Full Body Session -$5090 Min Full Body Session -$70Hot stones -$20 add onOutcalls are available and credit/debit are accepted...    ?¯è?è?è?THE BEST MASSAGE OF YOUR LIFE 4047094727?¯è?è?è?",thp
136,"I offer a variety of massages to include legs, back, shoulders, swedish and deep-tissue just to name a few  Schedule your appointment today.  show contact info! Men, Women, and Couples Welcome! Outcalls available! BENEFITS OF MASSAGE : Reducing stress, pain and muscle tension.AnxietyDigestive disordersFibromyalgiaHeadachesInsomnia related to stressRelaxing Peaceful Healing and much more. Thanks In Advance!    Massage By Bella",thp
137,"STOP PAIN. Relax and be pampered!Early Bird Special - $45 one hour body massage from 10 am to 2 pm. 30-minute Foot massage $19.99!Also try our $1 a minute chair massage! (15-minute minimum)!Table shower - $20 for 20 minutes!Hongs Massage has male and female massage therapists who are professionally trained.We are located near the Mall of Georgia just off I-85, next to Costco. Open 7 days a week, 10 a.m. - 10 p.m.Call us for an appointment, but walk-ins are welcome!1600 Mall of Georgia Blvd., Suite 858Buford, GA 30519show contact infohttp://hongsmassage.webs.com Éù?Éù?==$19.99 Massage! Free Hot Stone with Body Massage!==Éù?",thp
138, ,thp
139,"Professional Reliable Highly Skilled and Trained. A true licensed massage therapist for 11 years with next level skills I'm very In tuned. It's more than a massage it's an experience. A true oasis sure to send you on a mental vacation!Most Popular Service""Total Body Relaxation""30min $6530min Signature $801hr $1001hr Signature $13090min $15090min Signature $1602hrs also available Full Body Wash/Scrub w/massage 30min $801hr $120 90min $140Foot Bath/Scrub w/reflexology 30min $3540min $45 P.s Thai stretching, Hot Stones,Hot towel treatment, Back walking, Couples, Four Hands, Chair Massages, and/or Aroma therapy also availableText 1stCall, if no response within 10mins Available Now TEXT  show contact infoAsk For Yanni Office Airport ParkVirginia Ave College Park 30337Safe Clean and Cozy private location.show contact infoHands of a real Goddess...Highly Skilled and Reliable",thp
140, ,thp
141,"Service:Deep Tissue ( Chinese traditional)AcupressureThai MassageSwedishSports MassagePrenatal MassageShiatsuFoot MassageHead to Toe ( Special Foot Massage)Combination Massage ( Body & Feet)Table ShowerCuppingBio Electric MassageFree Hot Stone with every foot and body massage.Empress Massage 1 (nearby Sugarloft Mills)1820 North Brown Rd, suite 20Lawrenceville, GA 30043show contact infoEmpress Massage 2 (nearby I-85 exit 104)1960 Day Drive, suite 300Duluth, GA 30096show contact infoCall or Text to Schedule AppointmentPlease visit our website, print the SPECIAL COUPON and Bring it to our store.http://www.empressmassage.net/ Come Check Out Our New Massage Therapy",thp
142," Amazing Massage in Town Come enjoy our professional WHOLE BODY MASSAGE,And we include an exciting HOT STONE MASSAGE absolutely FREE!Luxury and atmosphere. We promise you that you will leave Refreshed and Relaxed. DON'T Wait! Call Now!CALL or TEXT us at  show contact info or call us at  show contact info .Experience the Most Amazing Feeling!Our treatments include: Full body massage Deep tissue/ soft tissue Swedish Walk on the back massage Knee massage Hot stone therapy massage Whole body massage Foot massage Swedish ReflexologyCALL or TEXT us at  show contact info or call us at  show contact info .We are Open 7 days a week 11:00AM - 10:00 PM.Walk-Ins are always Welcome.In Sandy Springs Plaza also known as Trader Joe's Shopping Center.6309 Roswell Road 2f, Sandy Springs GA, 30328 (2nd Floor)    Éù?ã?èÉù?ã?èÉù?ã?èGrand opening. Fantastic massage",thp
143," MASSAGE SPRINGFor CELEBRATE WE GRAND OPEN.WE DO SPECIAL OFFER FOR ALL CUSTOMERS.We offer professional foot reflexology * body massage * deep tissue massage * kneeling back massage * Healing oils relaxing music and soft lighting are included for your ultimate comfort and relax.BODY MASSAGE WITH FREE HOT SHONECOMBO FEET AND BODY MASSAGEFOOT MASSAGE WITH FREE HOT STONE WE HAVE VERY NICE AND BEAUTIFUL PLACE. WE OPEN 7 DAYS A WEEK 11:00AM~10:PMWALK IN AND APPOINTMENT ALL WELCOME HURRY UP CALL AND MAKE APPOINTMENT. YOU WILL LOVE. YOU CAN'T MISS IT. WE ARE WAITING FOR YOU.Address: 2580 Windy Hill Road, #500, Marietta, GA 30067    Éù?Éù?Grand Opening ,body massage with free Vicky Shower,",thp
144,"---- Rose Massage (Norcross)  ----Clean RoomsRelaxing HoursProfessional Massage TherapistsBest in Town FANTASTIC RELAXING MASSAGE!Open Mon-Sun: 10:00am - 10:00pm é?è?É?ù??é?è?É?ù??Grand_Opening Special $39.99/hr.(5245 Buford hwy, Norcross)",thp
145,"  ***@@**NEW OPENING **@@***Chinese Massage Beautiful Asians GRAND OPENING in LawrencevillOur Treatments Include: ~ Full Body Massage~ Foot Massage~ Deep Tissue / Soft Tissue ~ Back walking  ~ 4 HANDS Massage ~ Bodywork /Relax~ Knee Massage~ Hot Stone Therapy Massage~ Free Bathing Open 7 days : Monday - Saturday :10:00am ---- 9:30pm Sunday                :10:30am ---- 10:00pm  In LawrencevilleWalk-in or Call  show contact info(I-85 Exit107,then Go East and past Hwy 120 and GA-316, next to Five Guys Burgers and Fries)Address :4788 Sugarloaf Pkwy #103, Lawrenceville, Georgia 30044 @@@@!!!Grand Open!!!@@Best Oriental Massage@@@@@@",thp
146,"90mins with free table shower and free coconut oil or special oil.Don't look further.come try our massage, Our Therapists will make your experience with us truly relaxed &unforgettable. You will want to come back for more. XU YA Massage is combo of Deep Tissue, Acupressure, Shiatsu, Hot Stone & Barefoot/Ashiatsu (on request) Massage. It enables better ovygenated blood flow helping tissue repair, slows aging & helps relax your body & state of mind and LIFTS your tired muscles back to LIFE again. You will feel so good with your endorphins at end of massage its like having a new rejuvenated body. Don't wait ,Come try our massage. Reflexology & Ionic Detox also available.Try us out & get a truly relaxing lifting experience. Reflexology/Foot Massage, Ionic Detox are also available. Don't wait. Call without delay. Walk-in's are of course welcome.show contact infoWell Trained therapists for truly Relaxing experience",thp
147,"AMAZING EXPERIENCE!! ROSE Massage(Roswell)** Private massage rooms * Clean * Quite & Comfortable** Professional * Asian Massage Therapists** Best prices & better service with our advanced professional procedures** Relieve your pain and stress from your neck, shoulder, arm and backOur wonderful Staff Are Ready To Give You the best massage in Town!!Open 10:00AM - 9:30PM 7days/week Tel:  show contact infoAppointment or Walk-ins Welcome!Add: 11235 Alpharetta Hwy Suite 133 Roswell GA 30076(Same as Just Brakes Shopping Center)====Google map====Services: Full Body Massage / Vichy Shower / Knee Massage / Couples Massage Deep Tissue/Soft Tissue / Hot Stone Therapy Massage / Back Walking Massage Gift Cards Available! É??É??New sweet  Asian staff just arrived forÉ??É??Only$39.99/hr",thp
148," Grand Opening - 4/18/201720% Off (only for body masssage)  Open 7 Days a Week :9am - 9pm Body Massage  Reflexology Foot Massage  Acupuncture  Cupping  Scraping   Acupressure Healing  Massage Hypnosis  Meridian Circulation Electrotherapy  Detox  Combo Massage  Gift Card Available Busy people should take a break and go to a massage spa. It can be a place to pamper yourself, to chill out, relax, recharge, reflect or re-energize. Massage spas cater to a range of health promoting experiences.Store is walk-ins welcome or appointment. We are open 7 days a week.  Address:4300 Buford Hwy Suite 205 Chamblee, GA 30345Tel:  show contact infowww.gotospa18.comwww.gotoyini.comaddress: 4997 Buford hwy chamblee ga 30341 tel; show contact info 20% off for Body Massage-Grand Opening- Spa 18     Tel:678-712-3357",thp
149,"Ladies!!!Do you WORK hard??Do you CARE for YOUR body?Are you in NEED of, & DESERVE: Relaxation?Aches & Pain Relief??Stretching??? Head-to-Toe Pampering????Welcome to:THE Complete Body & Wellness Kingdom!!!""Professional Massage by Leo""Beautiful Office located on Virginia Avenue, by the AIRPORT!Available Hours:Monday-Friday: 8am-MidnightSaturday: 8am-10pmSunday: 2pm-MIDNIGHTMassage & Pampering...$29.&up Ladies ONLY special!!!",thp
150,Knowledgeable massage therapist. Will customize each session according to your needs. Please text day and time you wish to come in. I will respond once I become available.  show contact infoOpen 7 days a week from 9 to 5. No exceptions.    Latina Massage Therapist,thp
151,"Welcome to my loving, healing Sanctuary... Receive the attention and touch you long for. Feel enveloped by warm love and Pleasure... Magic happens when we listen to and trust our bodies' wisdom, and get out of our thinking heads. Are you ready for a Beautiful, Restorative, Healing journey? Are you ready to feel your body in ways you have not felt it before? I will take you where you need to go... away from the draining stresses of life and work and into a timeless, heart-filled bliss! This work goes deep... I am a Seductive Reiki Master who has mastered the art of intuitive tantric healing. *Respect and integrity are crucial values in my work. Thank you for your respect and Intentionality when you come in for sessions!* * show contact info*. $120/hour.For Women and men. Blessings! I AM NOT AN ESCORT. Zenful Tantric Reiki    ?¯è???É???¯è?è????¯è?É?õèˇ?¯è?è??®SOOTHING RELAXING BODYWORK ?¯è?É?õèˇ custom",thp
152,"GRAND OPENING SPECIAL $49.95 1st hour*****NEW GORGEOUS ASIAN STAFF*****ENJOY A GREAT PROFESSIONAL MASSAGE THERAPY SESSIONBrand New establishment. Come in and relax with us.OPEN DAILY: Mon-Sat 9:30am~9:30pmSun 10:30am-7:00pm125 Commons Way, Suite 204, Villa Rica, GA 30180Walk-ins Welcomed ! About Our Services: * Full body massage * Foot Reflexology Massage* Deep Tissue / Soft Tissue Massage* Hot Stone Therapy Massage* Four hands Massage * Couples Massage Couple's Massage:This is the perfect romantic, birthday, or holiday gift for you and your spouse ! Two skilled massage therapists attend to you and the person you love.Hot Stone Massage:Great for stress reduction or relief of modest aches and sports pains.Full Body Oil Massage:A relaxing systematic stimulation of the soft tissue and muscles. This rhythmic flowing style relieves stress and imparts greater feelings or well-being.Four Hands Massage: Enjoy an extraordinary experience from two massage therapists working together on you using synchronized massage techniques that flow seamlessly over the entire body.Foot Reflexology Massage:Enjoy a healthful and stimulating experience for tired feet. Your foot reflexology massage therapist will apply pressure to specific points on your feet to stimulate blissful whole body rejuvenation.Éù?Éù?Éù?GRAND OPENING SPECIAL (ORIENTAL SPA) 770-573-7372",thp
153,[[ ____VERY_NICE!_ Relaxing_Chinese Bodywork ____ ]]Congratulations! you have already found the best Staffin Atlanta . GA ! show contact info10:00am-10:00pm 7 daysDeep Tissue / Swedish / Back Walking/Table Shower & Hot stoneIf you would like a Relaxing Bodywork by ProfessionalAsian Staff Come and Experience a Perfect Bodywork.Body Massage :*** $40/30mins ****** $50/60mins ****** $80/90min ***Foot Reflexology*** 30Mins/$20 ****** 60min /$30 ***welcome walk in11060 Alpharetta Hwy suite 114 Roswell GA 30076    É??É??É??É??É??REFRESHING ! AN UNFORGETTABLE ASIAN BODYWORK,thp
154,"((( GG Spa )))***BETTER RELAXATION 4 U***  3149 E Shadowlawn Ave NE, Atlanta, GA 30305 Come and enjoy a totally relaxing momentWe offer various relaxation service to suit your individual needs  show contact info Body to Soul: We heal you all over 24/7 Always be with youBeautiful  Global Staff are waiting 4 UFree Table Shower! DIRECTION: CLICK ========== ?¯è?É??É?? =========== GG SPA: 404-907-4699   ======= ?¯è?É??É?? ======",thp
155,"---- Rose Massage (Norcross)  ----Clean RoomsRelaxing HoursProfessional Massage TherapistsBest in Town FANTASTIC RELAXING MASSAGE!Open Mon-Sun: 10:00am - 10:00pm é?è?É?ù??é?è?É?ù??Grand_Opening Special $39.99/hr.(5245 Buford hwy, Norcross)",thp
156,"Grand Opening -- Elite Hands Massage by Experienced Professional Licensed TherapistsElite Hands MassageFirst timers can get a body massage (1 hour) for $49Olde Town Center216 Atlanta Road, Suite K, Cummings ,GA 30040Tel: show contact infoMon-Sat 10:30am - 10:00pmSunday 11:00am - 9:30pm?????????$49 ?????????SPECIAL ??????",thp
157,"  Welcome to A1 Massage Grand Opening     Summer Special Discount $50/Hr Body Massage    Please Call  show contact info   Location: 2620 Cobb Pkwy SE, Ste 2A, Smyrna, GA 30080Éù?Summer Special Discount Éù?678-401-2608 Éù?A1 MassageÉù?",thp
158,"I welcome you to experience the awesomeness of my massage service. I work on straight, bi, gay and curious married gentlemen. I never discriminate by age, weight or looks. All my clients are given 5 star treatment. Your session includes heated massage table,warm lotion, and shower available with hot towel all in a smoke free home. I'm very intuitive and know exactly what a man needs and offers deep to gentle modalities. You will discover a sense of bliss and relaxation both physically and emotionally. I have many repeat clients and would love to meet you soon.(Draping optional), Seniors welcome. CASH/CREDIT   Hours 10am-11pm daily     Rates 60 minutes $80                                                                                   90 minutes $110Outcalls add $25.     Call/ Text  show contact infoM4M RELAXING FULL BODY MASSAGE MALE 4 MALE",thp
159,"Far East Massage $59.99 1 hour Full Body MassageSave with an Appointment when you mention this AD and get 20% off a one hour massage - Call Ahead  show contact infoProfessional Therapists waiting to assist youFor relaxation or for a variety of health conditions:  - Back pain - Inflammatory conditions such as arthritis and tendinitis - Stress relief and stress-related conditions - Migraines - Muscle and related conditions such as spasms, strains and sprains - Circulatory and respiratory problems - Relieves stress & Building Immunity.Warm, Clean Atmosphere awaits you - Men and Women. Ask about Our 4 Hand Massage -- NO Appointment Required. Located within the Publix Plaza next to Subway @ East Cherokee and Old Hwy 5 6234 Old Hwy 5, Woodstock, Ga. 30188 Suite D-8ALL Major Credit Cards, Cash, NO CHECKSEXTENDED HOURS!!9:30a - 10:00p Mon thru Sat. 10:00a - 8:00p Sun	Credit Card use Fee under $80 = 2.00	$80 or more = $3.00 Far East Masssage - CL SPECIAL! Get 20% off - Far East Massage",thp
